layer,type,shape,params,mode,w_bits,a_bits,mse,mae,max_abs,cos,baseline_ms,layer_ms,peak_mem_MB
down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,Linear,"(320, 320)",102400,W8A8,8,8.0,1.4440250000000001e-06,0.000777899975,0.018930807725,0.9999991015,2910.9725,2700.765,
down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v,Linear,"(320, 320)",102400,W4A8,4,8.0,0.012749803675,0.0567202242,1.757649168375,0.993444573875,2910.9725,2695.505,
down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v,Linear,"(320, 320)",102400,W8A8,8,8.0,6.5965e-06,0.001699474875,0.02672210335,0.999996280175,2910.9725,2702.28,
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k,Linear,"(320, 768)",245760,W4A8,4,8.0,0.0019102494499999999,0.01951159465,0.5888497569,0.998992970575,2910.9725,2723.1775,
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k,Linear,"(320, 768)",245760,W8A8,8,8.0,0.0001901437,0.005296865925,0.108791199525,0.999902337975,2910.9725,2721.025,
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,"(320, 320)",102720,W4A8,4,8.0,0.011475301675,0.060607496675,1.729944631475,0.99355524715,2910.9725,2714.4700000000003,
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,"(320, 320)",102720,W8A8,8,8.0,1.9045175e-05,0.003255757075,0.033083997675,0.9999875987,2910.9725,2729.3825,
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_q,Linear,"(320, 320)",102400,W4A8,4,8.0,0.0018989739,0.016036051925,0.445453537625,0.999028116275,2910.9725,2726.3125,
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_q,Linear,"(320, 320)",102400,W8A8,8,8.0,1.44745e-06,0.000548735625,0.019576182600000002,0.9999992237499999,2910.9725,2707.6324999999997,
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,Linear,"(320, 768)",245760,W4A8,4,8.0,0.004419429525,0.040434041525,0.542837008825,0.9976874436250001,2910.9725,2696.5225,
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,Linear,"(320, 768)",245760,W8A8,8,8.0,0.009876275275,0.028226752025000003,0.725540675225,0.994947272025,2910.9725,2727.1724999999997,
down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,"(2560, 320)",821760,W4A8,4,8.0,0.02894057145,0.09585734085,2.625561639675,0.983520087975,2910.9725,2720.165,
down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,"(2560, 320)",821760,W8A8,8,8.0,0.0001263686,0.005591082575,0.122901499275,0.9999335718,2910.9725,2750.0375,
down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2,Linear,"(320, 1280)",409920,W4A8,4,8.0,0.00038392315,0.014094820725,0.24618908765,0.99977025155,2910.9725,2758.525,
down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2,Linear,"(320, 1280)",409920,W8A8,8,8.0,0.00015622895,0.0059480603,0.18736898899999999,0.99991698255,2910.9725,2738.6225,
down_blocks.0.attentions.1.proj_in,Conv2d,"(320, 320, 1, 1)",102720,W4A8,4,8.0,0.0008147224000000001,0.019056915075,0.323050804425,0.9995036195,2910.9725,2745.235,
down_blocks.0.attentions.1.proj_in,Conv2d,"(320, 320, 1, 1)",102720,W8A8,8,8.0,1.433345e-05,0.002499036325,0.04839811195,0.9999909954,2910.9725,2716.24,
down_blocks.0.attentions.1.proj_out,Conv2d,"(320, 320, 1, 1)",102720,W4A8,4,8.0,0.014741319275,0.056073112425,0.956518471225,0.992279517,2910.9725,2726.3925,
down_blocks.0.attentions.1.proj_out,Conv2d,"(320, 320, 1, 1)",102720,W8A8,8,8.0,2.5291374999999998e-05,0.0032537491,0.057578731325,0.9999852407750001,2910.9725,2748.59,
down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_k,Linear,"(320, 320)",102400,W4A8,4,8.0,0.000228434675,0.009843526174999999,0.144734337925,0.999853962825,2910.9725,2721.1575000000003,
down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_k,Linear,"(320, 320)",102400,W8A8,8,8.0,1.0743e-06,0.000642745375,0.01317204535,0.9999992869,2910.9725,2736.955,
down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,"(320, 320)",102720,W4A8,4,8.0,0.028095523124999997,0.06475206975,0.8940486908,0.985484453225,2910.9725,2747.14,
down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,"(320, 320)",102720,W8A8,8,8.0,8.321075e-06,0.001836592575,0.035298213349999996,0.999995067875,2910.9725,2727.88,
down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_q,Linear,"(320, 320)",102400,W4A8,4,8.0,0.000152714825,0.007760622775,0.122278891525,0.9998995176750001,2910.9725,2738.6825,
down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_q,Linear,"(320, 320)",102400,W8A8,8,8.0,4.6431000000000005e-06,0.00100986115,0.0227567535,0.9999975128,2910.9725,2716.53,
down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_v,Linear,"(320, 320)",102400,W4A8,4,8.0,0.00118162145,0.02405806025,0.394912876175,0.9992887941,2910.9725,2762.0675,
down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_v,Linear,"(320, 320)",102400,W8A8,8,8.0,4.8211249999999995e-06,0.0013531989249999999,0.0246415585,0.999997351025,2910.9725,2718.215,
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_k,Linear,"(320, 768)",245760,W4A8,4,8.0,0.00203199,0.018532046825000002,0.45897527785,0.99893356625,2910.9725,2732.1325,
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_k,Linear,"(320, 768)",245760,W8A8,8,8.0,7.69205e-06,0.001232990525,0.024398863325000002,0.9999959817,2910.9725,2737.3,
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_out.0,Linear,"(320, 320)",102720,W4A8,4,8.0,0.0027582881,0.02762644665,0.46708482505000004,0.99856377975,2910.9725,2759.065,
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_out.0,Linear,"(320, 320)",102720,W8A8,8,8.0,0.00016565155,0.0044142198,0.10882647475,0.99991508785,2910.9725,2745.245,
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_q,Linear,"(320, 320)",102400,W4A8,4,8.0,0.000110161,0.0066021874999999995,0.1308349371,0.9999334755,2910.9725,2747.6875,
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_q,Linear,"(320, 320)",102400,W8A8,8,8.0,6.7733e-06,0.0012880228,0.026479784399999998,0.9999963483000001,2910.9725,2755.4025,
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,Linear,"(320, 768)",245760,W4A8,4,8.0,0.004112958075,0.038970255725,0.945856988425,0.997643918175,2910.9725,2734.4900000000002,
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,Linear,"(320, 768)",245760,W8A8,8,8.0,0.0001600858,0.005848481925,0.141350939875,0.999916548775,2910.9725,2729.4775,
down_blocks.0.attentions.1.transformer_blocks.0.ff.net.0.proj,Linear,"(2560, 320)",821760,W4A8,4,8.0,0.00217967875,0.032147414525,0.5727237314,0.998729684625,2910.9725,2740.5575,
down_blocks.0.attentions.1.transformer_blocks.0.ff.net.0.proj,Linear,"(2560, 320)",821760,W8A8,8,8.0,1.0094975e-05,0.00199333375,0.042735235775,0.999993903,2910.9725,2739.5025,
down_blocks.0.attentions.1.transformer_blocks.0.ff.net.2,Linear,"(320, 1280)",409920,W4A8,4,8.0,0.00610890315,0.028570481825,0.7478933185250001,0.9968589989250001,2910.9725,2725.8325,
down_blocks.0.attentions.1.transformer_blocks.0.ff.net.2,Linear,"(320, 1280)",409920,W8A8,8,8.0,0.000119368625,0.0061252662999999995,0.10322841999999999,0.99993591045,2910.9725,2737.7349999999997,
down_blocks.0.downsamplers.0.conv,Conv2d,"(320, 320, 3, 3)",921920,W4A8,4,8.0,0.00967672255,0.0445964602,1.4840614274250001,0.994860338375,2910.9725,2733.71,
down_blocks.0.downsamplers.0.conv,Conv2d,"(320, 320, 3, 3)",921920,W8A8,8,8.0,0.00035970037500000003,0.008432671775000001,0.18967994862499998,0.999814862175,2910.9725,2721.0950000000003,
down_blocks.0.resnets.0.conv1,Conv2d,"(320, 320, 3, 3)",921920,W4A8,4,8.0,0.004077980725,0.028986317575,1.267026782025,0.997796035,2910.9725,2734.7375,
down_blocks.0.resnets.0.conv1,Conv2d,"(320, 320, 3, 3)",921920,W8A8,8,8.0,0.000236705225,0.008498748175,0.1510271728,0.999874230175,2910.9725,2708.98,
down_blocks.0.resnets.0.conv2,Conv2d,"(320, 320, 3, 3)",921920,W4A8,4,8.0,0.025202426724999998,0.06864769665,1.033363945775,0.98662322455,2910.9725,2742.745,
down_blocks.0.resnets.0.conv2,Conv2d,"(320, 320, 3, 3)",921920,W8A8,8,8.0,0.00029236875000000003,0.01022060575,0.19644293935,0.999834474775,2910.9725,2712.54,
down_blocks.0.resnets.0.time_emb_proj,Linear,"(320, 1280)",409920,W4A8,4,8.0,0.138874662125,0.24447307735,3.57928207515,0.92490317555,2910.9725,2733.825,
down_blocks.0.resnets.0.time_emb_proj,Linear,"(320, 1280)",409920,W8A8,8,8.0,0.00687851835,0.041207728425,1.15143672375,0.996422953,2910.9725,2724.8825,
down_blocks.0.resnets.1.conv1,Conv2d,"(320, 320, 3, 3)",921920,W4A8,4,8.0,0.001649676075,0.0255224961,0.49237284065,0.998926815875,2910.9725,2730.1275,
down_blocks.0.resnets.1.conv1,Conv2d,"(320, 320, 3, 3)",921920,W8A8,8,8.0,2.1108300000000003e-05,0.002855786975,0.06031027995,0.999987412425,2910.9725,2744.7725,
down_blocks.0.resnets.1.conv2,Conv2d,"(320, 320, 3, 3)",921920,W4A8,4,8.0,0.037207914875000005,0.09708310475,1.415453903375,0.980303777425,2910.9725,2724.9775,
down_blocks.0.resnets.1.conv2,Conv2d,"(320, 320, 3, 3)",921920,W8A8,8,8.0,0.000369681875,0.007328996725,0.19488849490000001,0.99980845685,2910.9725,2722.9475,
down_blocks.0.resnets.1.time_emb_proj,Linear,"(320, 1280)",409920,W4A8,4,8.0,0.00203629435,0.022205959775,0.534019000825,0.99893413575,2910.9725,2724.5425,
down_blocks.0.resnets.1.time_emb_proj,Linear,"(320, 1280)",409920,W8A8,8,8.0,2.7059925e-05,0.002416159725,0.054135411975,0.999985564075,2910.9725,2734.35,
down_blocks.1.attentions.0.proj_in,Conv2d,"(640, 640, 1, 1)",410240,W4A8,4,8.0,0.00044376195,0.0115260994,0.3694090955,0.999744420725,2910.9725,2730.2174999999997,
down_blocks.1.attentions.0.proj_in,Conv2d,"(640, 640, 1, 1)",410240,W8A8,8,8.0,2.5614125e-05,0.003138429875,0.07009592,0.99998495575,2910.9725,2732.2125,
down_blocks.1.attentions.0.proj_out,Conv2d,"(640, 640, 1, 1)",410240,W4A8,4,8.0,0.0007802211,0.015757462925,0.34712237865,0.999570428225,2910.9725,2731.6075,
down_blocks.1.attentions.0.proj_out,Conv2d,"(640, 640, 1, 1)",410240,W8A8,8,8.0,8.985425e-06,0.001649491275,0.0469372198,0.999994946675,2910.9725,2710.74,
down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_k,Linear,"(640, 640)",409600,W4A8,4,8.0,0.0007677068999999999,0.012390482725,0.226855471725,0.99959730335,2910.9725,2753.105,
down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_k,Linear,"(640, 640)",409600,W8A8,8,8.0,1.11255e-06,0.0005982535249999999,0.01377060075,0.999999391025,2910.9725,2752.1075,
down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,"(640, 640)",410240,W4A8,4,8.0,0.002090323175,0.024412197750000003,0.540513463325,0.998901117025,2910.9725,2740.54,
down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,"(640, 640)",410240,W8A8,8,8.0,1.4890025e-05,0.001940015275,0.054683201024999996,0.9999916182499999,2910.9725,2727.515,
down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_q,Linear,"(640, 640)",409600,W4A8,4,8.0,0.000129744675,0.005904151575,0.137873928975,0.9999311031,2910.9725,2846.4475,
down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_q,Linear,"(640, 640)",409600,W8A8,8,8.0,5.138875e-06,0.000858494825,0.0221594963,0.999997354975,2910.9725,2922.6125,
down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_v,Linear,"(640, 640)",409600,W4A8,4,8.0,0.00126336075,0.0233100974,0.4142843634,0.9992583382,2910.9725,2736.26,
down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_v,Linear,"(640, 640)",409600,W8A8,8,8.0,1.795335e-05,0.001872502575,0.047317495575,0.99999057465,2910.9725,2742.6800000000003,
down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_k,Linear,"(640, 768)",491520,W4A8,4,8.0,0.001904985425,0.0187828664,0.4556441419,0.9990224158,2910.9725,2756.1,
down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_k,Linear,"(640, 768)",491520,W8A8,8,8.0,1.0257075e-05,0.002123820175,0.038140775625,0.9999938816,2910.9725,2756.08,
down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,"(640, 640)",410240,W4A8,4,8.0,0.007769965075,0.054132500675,1.4978752583250001,0.995333371175,2910.9725,2732.7525,
down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,"(640, 640)",410240,W8A8,8,8.0,0.000138375025,0.00561217835,0.12315778155,0.9999264722,2910.9725,2742.86,
down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_q,Linear,"(640, 640)",409600,W4A8,4,8.0,0.00393550035,0.01838309015,0.475957192475,0.997985791125,2910.9725,2847.6549999999997,
down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_q,Linear,"(640, 640)",409600,W8A8,8,8.0,2.622575e-06,0.0006528096000000001,0.019911667350000002,0.99999864045,2910.9725,2744.2425,
down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,Linear,"(640, 768)",491520,W4A8,4,8.0,0.001737636025,0.02948192365,0.43206808715,0.998956405375,2910.9725,2725.475,
down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,Linear,"(640, 768)",491520,W8A8,8,8.0,0.000127205375,0.007147611125,0.14934369922500002,0.9999261164,2910.9725,2753.9325,
down_blocks.1.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,"(5120, 640)",3281920,W4A8,4,8.0,0.006782205875,0.047711079475,0.922241047025,0.9964424083250001,2910.9725,2752.385,
down_blocks.1.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,"(5120, 640)",3281920,W8A8,8,8.0,1.5031099999999999e-05,0.002404615725,0.043715741475,0.99999135665,2910.9725,2733.42,
down_blocks.1.attentions.0.transformer_blocks.0.ff.net.2,Linear,"(640, 2560)",1639040,W4A8,4,8.0,0.0014455105,0.022984072575,0.5256675221,0.99916881395,2910.9725,2721.79,
down_blocks.1.attentions.0.transformer_blocks.0.ff.net.2,Linear,"(640, 2560)",1639040,W8A8,8,8.0,0.000150185725,0.0069041529,0.23111632467499998,0.9999140513,2910.9725,2735.31,
down_blocks.1.attentions.1.proj_in,Conv2d,"(640, 640, 1, 1)",410240,W4A8,4,8.0,0.001473841825,0.02003550435,0.41107721627500005,0.9992169077749999,2910.9725,2732.3925,
down_blocks.1.attentions.1.proj_in,Conv2d,"(640, 640, 1, 1)",410240,W8A8,8,8.0,0.00011706142499999999,0.0054303336249999995,0.120467197125,0.9999383804249999,2910.9725,2735.545,
down_blocks.1.attentions.1.proj_out,Conv2d,"(640, 640, 1, 1)",410240,W4A8,4,8.0,0.0186889926,0.06249496525,1.18922415375,0.9902635773999999,2910.9725,2732.9875,
down_blocks.1.attentions.1.proj_out,Conv2d,"(640, 640, 1, 1)",410240,W8A8,8,8.0,0.035339231325000005,0.084498955425,1.3587950617,0.9815450254,2910.9725,2743.38,
down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_k,Linear,"(640, 640)",409600,W4A8,4,8.0,0.000296007875,0.0085890604,0.218201203275,0.9998429067,2910.9725,2738.49,
down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_k,Linear,"(640, 640)",409600,W8A8,8,8.0,1.83605e-06,0.000643624425,0.015126301925,0.999999017225,2910.9725,2722.865,
down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,"(640, 640)",410240,W4A8,4,8.0,0.011205701425,0.0600054469,1.658578693875,0.993847596425,2910.9725,2757.0175,
down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,"(640, 640)",410240,W8A8,8,8.0,3.1673575e-05,0.003149753425,0.06028382575,0.999982435525,2910.9725,2765.5950000000003,
down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_q,Linear,"(640, 640)",409600,W4A8,4,8.0,4.5203050000000004e-05,0.00434711755,0.07742681355,0.999972597675,2910.9725,2737.995,
down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_q,Linear,"(640, 640)",409600,W8A8,8,8.0,1.187625e-06,0.00055408065,0.012475201875000001,0.99999937085,2910.9725,2728.365,
down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_v,Linear,"(640, 640)",409600,W4A8,4,8.0,0.00085361715,0.0173912628,0.34559644759999997,0.999531824175,2910.9725,2730.4425,
down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_v,Linear,"(640, 640)",409600,W8A8,8,8.0,2.280325e-05,0.0018677297499999999,0.047367073600000004,0.999988248475,2910.9725,2737.085,
down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_k,Linear,"(640, 768)",491520,W4A8,4,8.0,0.000493900225,0.01141491745,0.255230126875,0.999739388675,2910.9725,2765.9475,
down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_k,Linear,"(640, 768)",491520,W8A8,8,8.0,2.0284874999999998e-05,0.0024272386,0.051414420825,0.9999887670000001,2910.9725,2752.4175,
down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.0,Linear,"(640, 640)",410240,W4A8,4,8.0,0.002270286425,0.027901497650000003,0.52063582835,0.99877920235,2910.9725,2730.7025,
down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.0,Linear,"(640, 640)",410240,W8A8,8,8.0,0.000111511925,0.0040797768,0.11438272892500001,0.9999427376750001,2910.9725,2743.34,
down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_q,Linear,"(640, 640)",409600,W4A8,4,8.0,0.00017774795000000002,0.0077833539,0.1510989331,0.99990011935,2910.9725,2730.3675000000003,
down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_q,Linear,"(640, 640)",409600,W8A8,8,8.0,8.487e-07,0.000581775975,0.011249497525,0.9999994955,2910.9725,2752.1575000000003,
down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,Linear,"(640, 768)",491520,W4A8,4,8.0,0.002237778275,0.03078807565,0.7059762924999999,0.9986817733,2910.9725,2741.6625,
down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,Linear,"(640, 768)",491520,W8A8,8,8.0,0.0009555697,0.01299958735,0.28558169305,0.99950269705,2910.9725,2752.4725,
down_blocks.1.attentions.1.transformer_blocks.0.ff.net.0.proj,Linear,"(5120, 640)",3281920,W4A8,4,8.0,0.055691248275,0.12302616705000001,2.0997841507249997,0.969791897075,2910.9725,2737.64,
down_blocks.1.attentions.1.transformer_blocks.0.ff.net.0.proj,Linear,"(5120, 640)",3281920,W8A8,8,8.0,0.000177752575,0.007547719175,0.147350024425,0.9999029671749999,2910.9725,2728.21,
down_blocks.1.attentions.1.transformer_blocks.0.ff.net.2,Linear,"(640, 2560)",1639040,W4A8,4,8.0,0.0229115113,0.07262296045,1.930949896575,0.98764035245,2910.9725,2753.395,
down_blocks.1.attentions.1.transformer_blocks.0.ff.net.2,Linear,"(640, 2560)",1639040,W8A8,8,8.0,0.01171222145,0.0527455178,2.1779806465,0.9935189283,2910.9725,2746.0025,
down_blocks.1.downsamplers.0.conv,Conv2d,"(640, 640, 3, 3)",3687040,W4A8,4,8.0,0.040436616825,0.088419966375,1.4820931181499999,0.978776474075,2910.9725,2729.925,
down_blocks.1.downsamplers.0.conv,Conv2d,"(640, 640, 3, 3)",3687040,W8A8,8,8.0,0.035968182875,0.078161895275,1.234800156225,0.981408591825,2910.9725,2730.8199999999997,
down_blocks.1.resnets.0.conv1,Conv2d,"(640, 320, 3, 3)",1843840,W4A8,4,8.0,0.0019980409249999997,0.0254569794,0.4049540013,0.998900081425,2910.9725,2760.045,
down_blocks.1.resnets.0.conv1,Conv2d,"(640, 320, 3, 3)",1843840,W8A8,8,8.0,7.34825e-05,0.0037057145,0.095764301725,0.9999618439,2910.9725,2732.1875,
down_blocks.1.resnets.0.conv2,Conv2d,"(640, 640, 3, 3)",3687040,W4A8,4,8.0,0.002628200025,0.0299563124,0.706506341675,0.998538331,2910.9725,2718.8925,
down_blocks.1.resnets.0.conv2,Conv2d,"(640, 640, 3, 3)",3687040,W8A8,8,8.0,2.6116225e-05,0.0028752078,0.075245969,0.999985061775,2910.9725,2736.4300000000003,
down_blocks.1.resnets.0.conv_shortcut,Conv2d,"(640, 320, 1, 1)",205440,W4A8,4,8.0,0.002196005125,0.028927171124999998,0.5541117862,0.998768349325,2910.9725,2709.375,
down_blocks.1.resnets.0.conv_shortcut,Conv2d,"(640, 320, 1, 1)",205440,W8A8,8,8.0,0.000124323725,0.005104286475,0.1291747801,0.9999344652,2910.9725,2731.1825,
down_blocks.1.resnets.0.time_emb_proj,Linear,"(640, 1280)",819840,W4A8,4,8.0,0.128223392875,0.182571384125,3.30429552495,0.9325762864,2910.9725,2742.7975,
down_blocks.1.resnets.0.time_emb_proj,Linear,"(640, 1280)",819840,W8A8,8,8.0,0.00032821907499999995,0.008293138925,0.219691691925,0.9998242431,2910.9725,2733.5275,
down_blocks.1.resnets.1.conv1,Conv2d,"(640, 640, 3, 3)",3687040,W4A8,4,8.0,0.0097239279,0.0371532836,0.9226430654250001,0.99494349,2910.9725,2733.5825,
down_blocks.1.resnets.1.conv1,Conv2d,"(640, 640, 3, 3)",3687040,W8A8,8,8.0,7.38431e-05,0.00396316395,0.09671190195,0.9999612394,2910.9725,2722.56,
down_blocks.1.resnets.1.conv2,Conv2d,"(640, 640, 3, 3)",3687040,W4A8,4,8.0,0.006427573275,0.045170005400000005,0.880167961125,0.996607104725,2910.9725,2720.95,
down_blocks.1.resnets.1.conv2,Conv2d,"(640, 640, 3, 3)",3687040,W8A8,8,8.0,2.12957e-05,0.002505339025,0.070725742725,0.99998811925,2910.9725,2757.6625,
down_blocks.1.resnets.1.time_emb_proj,Linear,"(640, 1280)",819840,W4A8,4,8.0,0.003044310075,0.023819717575,0.57599115,0.998394673725,2910.9725,2730.48,
down_blocks.1.resnets.1.time_emb_proj,Linear,"(640, 1280)",819840,W8A8,8,8.0,2.358125e-06,0.000990228025,0.0149651156,0.999998402775,2910.9725,2730.4175,
down_blocks.2.attentions.0.proj_in,Conv2d,"(1280, 1280, 1, 1)",1639680,W4A8,4,8.0,0.0150332347,0.040909353875,0.898737296475,0.9922454879,2910.9725,2742.85,
down_blocks.2.attentions.0.proj_in,Conv2d,"(1280, 1280, 1, 1)",1639680,W8A8,8,8.0,0.000131944675,0.006012788099999999,0.172859632425,0.999928527775,2910.9725,2730.81,
down_blocks.2.attentions.0.proj_out,Conv2d,"(1280, 1280, 1, 1)",1639680,W4A8,4,8.0,0.004344524025,0.032820523475,0.6528271176,0.997769153425,2910.9725,2764.4325,
down_blocks.2.attentions.0.proj_out,Conv2d,"(1280, 1280, 1, 1)",1639680,W8A8,8,8.0,0.00175287145,0.015605489725,0.456202507,0.999097688425,2910.9725,2770.7325,
down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_k,Linear,"(1280, 1280)",1638400,W4A8,4,8.0,0.00029870315,0.0082398451,0.193252872675,0.999844225825,2910.9725,2748.2,
down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_k,Linear,"(1280, 1280)",1638400,W8A8,8,8.0,7.57825e-07,0.00046731945,0.00953206795,0.999999595,2910.9725,2745.89,
down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,"(1280, 1280)",1639680,W4A8,4,8.0,0.004772733825,0.0429862435,0.831449091425,0.9972891853,2910.9725,2738.36,
down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,"(1280, 1280)",1639680,W8A8,8,8.0,0.00039422605000000003,0.007996633925,0.21885410509999997,0.999798733725,2910.9725,2749.7,
down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_q,Linear,"(1280, 1280)",1638400,W4A8,4,8.0,0.000896212775,0.011830679975000001,0.2763628699,0.99954564265,2910.9725,2727.94,
down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_q,Linear,"(1280, 1280)",1638400,W8A8,8,8.0,1.51685e-06,0.000594550025,0.01469576175,0.99999919475,2910.9725,2721.3025,
